"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","402","Step 18: Verify ACCOUNT DELETED! is visible and click Continue","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - 18 test cases","example.spec.js","",""
"","32","Step 05: Verify New User Signup! is visible","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - 18 test cases","example.spec.js","",""
"","52","Step 03: Verify home page is visible successfully","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - 18 test cases","example.spec.js","",""
"","366","Step 15: Click Continue button","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - 18 test cases","example.spec.js","",""
"","895","Step 13: Click Create Account button","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - 18 test cases","example.spec.js","",""
"","31","Step 12: Fill address details","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - 18 test cases","example.spec.js","",""
"","13","Step 06: Enter name and email address","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - 18 test cases","example.spec.js","",""
"","21","Step 14: Verify ACCOUNT CREATED! is visible","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - 18 test cases","example.spec.js","",""
"","29","Step 08: Verify ENTER ACCOUNT INFORMATION is visible","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - 18 test cases","example.spec.js","",""
"","366","Step 07: Click Signup button","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - 18 test cases","example.spec.js","",""
"","45","Step 09: Fill account details","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - 18 test cases","example.spec.js","",""
"","668","Step 17: Click Delete Account button","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - 18 test cases","example.spec.js","",""
"","26","Step 16: Verify Logged in as username is visible","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - 18 test cases","example.spec.js","",""
"","6067","Step 01 & 02: Navigate to Automation Exercise URL","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - 18 test cases","example.spec.js","",""
"","35","Step 10: Select checkbox Sign up for our newsletter!","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - 18 test cases","example.spec.js","",""
"","27","Step 11: Select checkbox Receive special offers from our partners!","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - 18 test cases","example.spec.js","",""
"","949","Step 04: Click on Signup / Login button","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - 18 test cases","example.spec.js","",""
