"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","414","Test Case 11: Cross-Site Request Forgery (CSRF) Guardrails on State Forms","firefox","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","972","Test Case 10: Account Enumeration Protection via Feedback Messages","webkit","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","268","Test Case 11: Cross-Site Request Forgery (CSRF) Guardrails on State Forms","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","277","Test Case 4: Forced Browsing (Broken Object Level Authorization)","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","398","Test Case 3: Sensitive Data Masking in Logs / URL Query Parameters","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","365","Test Case 15: Session Cache Handling via Browser Controls","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","648","Test Case 10: Account Enumeration Protection via Feedback Messages","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","280","Test Case 9: Secure Cookie Attribute Deployment","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","1849","Test Case 1: Password Field Masking","firefox","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","552","Test Case 3: Sensitive Data Masking in Logs / URL Query Parameters","firefox","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","772","Test Case 13: XSS Script Insertion via Account Profile Data","webkit","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","5136","Test Case 1: Password Field Masking","webkit","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","500","Test Case 7: Session Cookie Expiry Check","webkit","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","1047","Test Case 13: XSS Script Insertion via Account Profile Data","firefox","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","401","Test Case 9: Secure Cookie Attribute Deployment","webkit","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","1235","Test Case 1: Password Field Masking","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
